Symbol,Trade DATE,NOCP
SPX,2/27/2019,2792.38
SPX,2/28/2019,2784.49
SPX,3/1/2019,2803.69
SPX,3/4/2019,2792.81
SPX,3/5/2019,2789.65
SPX,3/6/2019,2771.45
SPX,3/7/2019,2748.93
SPX,3/8/2019,2743.07
SPX,3/11/2019,2783.3
SPX,3/12/2019,2791.52
SPX,3/13/2019,2810.92
SPX,3/14/2019,2808.48
SPX,3/15/2019,2822.48
SPX,3/18/2019,2832.94
SPX,3/19/2019,2832.57
SPX,3/20/2019,2824.23
SPX,3/21/2019,2854.88
SPX,3/22/2019,2800.71
SPX,3/25/2019,2798.36
SPX,3/26/2019,2818.46
SPX,3/27/2019,2805.37
SPX,3/28/2019,2815.44
SPX,3/29/2019,2834.4
SPX,4/1/2019,2867.19
SPX,4/2/2019,2867.24
SPX,4/3/2019,2873.4
SPX,4/4/2019,2879.39
SPX,4/5/2019,2892.74
SPX,4/8/2019,2895.77
SPX,4/9/2019,2878.2
SPX,4/10/2019,2888.21
SPX,4/11/2019,2888.32
SPX,4/12/2019,2907.41
SPX,4/15/2019,2905.58
SPX,4/16/2019,2907.06
SPX,4/17/2019,2900.45
SPX,4/18/2019,2905.03
SPX,4/22/2019,2907.97
SPX,4/23/2019,2933.68
SPX,4/24/2019,2927.25
SPX,4/25/2019,2926.17
SPX,4/26/2019,2939.88
SPX,4/29/2019,2943.03
SPX,4/30/2019,2945.83
SPX,5/1/2019,2923.73
SPX,5/2/2019,2917.52
SPX,5/3/2019,2945.64
SPX,5/6/2019,2932.47
SPX,5/7/2019,2884.05
SPX,5/8/2019,2879.42
